page_id,url,query_target,dominant_intent,funnel_stage,existing_competitor,exclusive_info,icp_fit,conversion_potential,decision,status_now,human_review
radar-edificacoes-publicas-rs,/radar/edificacoes-publicas-rs/,Oportunidades abertas em Edificações públicas — Rio Grande do Sul,encontrar oportunidades abertas,topo/meio,,oportunidades abertas deduplicadas com link de edital,engineering_contractors_B2G,high,noindex,noindex,PENDING
prob-orcamento-edital,/inteligencia/cenarios/inconsistencia-orcamento-edital/,Inconsistência entre orçamento de referência e edital,diagnosticar problema técnico-contratual,consideração,/auditoria-orcamento-licitacao/,nenhuma evidência claim-específica no datalake atual,engineering_contractors_B2G,high,consolidate,noindex,NEEDS_CONTENT_FIX
prob-sinapi-sicro,/inteligencia/cenarios/referencia-sinapi-sicro-margem/,Referência SINAPI/SICRO e risco de margem na proposta,diagnosticar problema técnico-contratual,consideração,/conteudos/,nenhuma evidência claim-específica no datalake atual,engineering_contractors_B2G,high,consolidate,noindex,NEEDS_CONTENT_FIX
prob-medicao-glosa,/inteligencia/cenarios/medicao-glosa-contratos-recorrentes/,Medição e glosa em contratos com execução contínua,diagnosticar problema técnico-contratual,consideração,/conteudos/,nenhuma evidência claim-específica no datalake atual,engineering_contractors_B2G,high,consolidate,noindex,PENDING
prob-aditivos-margem,/inteligencia/cenarios/aditivos-e-risco-de-margem/,"Aditivos, serviços extras e erosão de margem",diagnosticar problema técnico-contratual,consideração,/aditivos-obras-publicas/,nenhuma evidência claim-específica no datalake atual,engineering_contractors_B2G,high,consolidate,noindex,NEEDS_CONTENT_FIX
prob-reequilibrio,/inteligencia/cenarios/reequilibrio-e-dispersao-de-precos/,Reequilíbrio diante de dispersão de preços e insumos,diagnosticar problema técnico-contratual,consideração,/conteudos/,nenhuma evidência claim-específica no datalake atual,engineering_contractors_B2G,high,consolidate,noindex,PENDING
gsc-query-0,,desonerado e não desonerado,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-1,,não desonerado,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-2,,sinapi desonerado ou não desonerado qual usar,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-3,,aditivos obra pública,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-4,,desonerado ou não desonerado,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-5,,como calcular mobilização e desmobilização de obra,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-6,,avcb,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-7,,empreitada por preço unitário,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-8,,bdi diferenciado,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-9,,mobilização de obra,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-10,,coenge,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-11,,ia,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-12,,nao desonerado,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-13,,tecnico edificacoes,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-14,,desonerado e não desonerado sinapi,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-15,,mobilização e desmobilização de obra,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-16,,smartenge engenharia,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-17,,consenge,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-18,,comprovação de exequibilidade,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
gsc-query-19,,conenge,descoberta,topo,(site atual — ver GSC),avaliar se pSEO agrega dado original,unknown,unknown,create_only_if_exclusive_data,,
